Date,AAPL,AMZN,MSFT,GM
2014-07-29,90.903114,320.0,39.487976,28.278421
2014-07-30,90.69059,322.51001,39.209076,28.163496000000002
2014-07-31,88.33438100000001,312.98999,38.831207,27.761278000000004
2014-08-01,88.824104,307.059998,38.561287,27.449354
2014-08-04,88.32515699999999,313.649994,39.020142,27.588897999999997
2014-08-05,87.890884,312.320007,38.75922,27.38369
2014-08-06,87.74301899999999,313.890015,38.453327,27.416522999999998
2014-08-07,87.733749,311.450012,38.894184,27.178471000000002
2014-08-08,87.97518199999999,316.799988,38.867191,27.523229999999998
2014-08-11,89.135925,318.329987,38.867191,27.74486
2014-08-12,89.11737099999999,319.320007,39.155102,27.662775
2014-08-13,90.296669,326.27999900000003,39.658924,27.867990000000002
2014-08-14,90.53810899999999,333.209991,39.829865000000005,27.867990000000002
2014-08-15,90.98383299999999,333.630005,40.297714,27.777693
2014-08-18,92.07959699999999,334.52999900000003,40.585625,28.237375
2014-08-19,93.35174599999999,335.130005,41.038284000000004,28.376922999999998
2014-08-20,93.38889300000001,335.77999900000003,40.69426,28.344085999999997
2014-08-21,93.398186,332.910004,40.938694,28.401546000000003
2014-08-22,94.085365,331.589996,40.875324,28.106035
2014-08-25,94.289635,334.019989,40.893421000000004,28.459003000000003
2014-08-26,93.68604300000001,341.829987,40.748581,28.606752
2014-08-27,94.837502,343.179993,40.621826,28.491833000000003
2014-08-28,94.948952,340.019989,40.630882,28.467215999999997
2014-08-29,95.181084,339.040009,41.128819,28.565720000000002
2014-09-02,95.923973,342.380005,40.821007,28.565720000000002
2014-09-03,91.875275,339.0,40.703308,28.294829999999997
2014-09-04,91.113846,345.950012,40.974907,28.426168
2014-09-05,91.903145,346.380005,41.56337,28.385128
2014-09-08,91.336708,342.339996,42.070351,27.523971999999997
2014-09-09,90.993126,329.75,42.332893,27.383196
2014-09-10,93.788208,331.329987,42.405315,27.565371999999996
2014-09-11,94.187492,330.519989,42.550171,27.830339000000002
2014-09-12,94.40106999999999,331.190002,42.278572,27.548807
2014-09-15,94.373207,323.890015,41.862122,27.846905
2014-09-16,93.658188,327.76001,42.332893,27.913140999999996
2014-09-17,94.32679,324.0,42.115615999999996,28.02907
2014-09-18,94.52179699999999,325.0,42.260467999999996,28.178112
2014-09-19,93.75104499999999,331.320007,43.020939,28.103594
2014-09-22,93.843903,324.5,42.604488,27.689577000000003
2014-09-23,95.31109599999999,323.630005,42.151833,27.507406
2014-09-24,94.48464200000001,328.209991,42.622601,27.863460999999997
2014-09-25,90.881699,321.929993,41.681061,27.217592
2014-09-26,93.556053,323.209991,42.016028999999996,27.466003000000004
2014-09-29,92.961739,321.820007,42.043178999999995,26.679371000000003
2014-09-30,93.556053,322.440002,41.97076,26.447521000000002
2014-10-01,92.098152,317.459991,41.554317,26.902943
2014-10-02,92.766754,318.410004,41.427566999999996,27.474285
2014-10-03,92.50676,322.73999,41.72633,27.954548
2014-10-06,92.50676,322.200012,41.72633,27.946270000000002
2014-10-07,91.698868,316.980011,41.219341,26.306751000000002
2014-10-08,93.602486,322.700012,42.351002,26.646247999999996
2014-10-09,93.80677,315.369995,41.509048,25.694001999999998
2014-10-10,93.537476,311.390015,39.861354999999996,25.081255
2014-10-13,92.683167,306.450012,39.517342,24.667238
2014-10-14,91.698868,308.309998,39.589766999999995,24.932205
2014-10-15,90.575249,305.97000099999997,39.128059,24.584435
2014-10-16,89.38665,302.859985,38.693501,24.791445
2014-10-17,90.69596899999999,303.640015,39.499237,25.039856
2014-10-20,92.636742,306.209991,39.906634999999994,25.122654
2014-10-21,95.153221,315.329987,40.630882,25.536678
2014-10-22,95.636108,312.97000099999997,40.178234,25.925854
2014-10-23,97.344711,313.179993,40.757633,25.6112
2014-10-24,97.706879,287.059998,41.762547,24.874249
2014-10-27,97.604729,289.97000099999997,41.56337,24.90737
2014-10-28,99.118332,295.589996,42.088454999999996,25.809931
2014-10-29,99.675484,294.119995,42.20615,25.437310999999998
2014-10-30,99.341202,299.070007,41.690117,25.486995999999998
2014-10-31,100.288353,305.459991,42.504902,26.000376
2014-11-03,101.588409,305.72000099999997,42.948509,25.818210999999998
2014-11-04,100.845535,302.809998,43.066208,25.520117000000003
2014-11-05,101.08695999999999,296.519989,43.328747,25.445593
2014-11-06,101.376068,296.640015,44.089218,25.975538
2014-11-07,101.665161,299.859985,44.07111,26.157707000000002
2014-11-10,101.49730699999999,305.109985,44.261227000000005,25.768528
2014-11-11,102.308693,312.01001,44.24313,25.958975
2014-11-12,103.754272,311.51001,44.161644,26.016939
2014-11-13,105.218483,316.480011,44.913063,26.207386
2014-11-14,106.486847,327.820007,44.885899,26.323313
2014-11-17,106.30963899999999,323.049988,44.777266999999995,26.753892999999998
2014-11-18,107.68993400000001,324.929993,44.403744,26.72077
2014-11-19,106.94381000000001,326.540009,43.930004,26.621409999999997
2014-11-20,108.473335,330.540009,44.367298,26.604846999999996
2014-11-21,108.62256599999999,332.630005,43.711353,26.604846999999996
2014-11-24,110.63701599999999,335.640015,43.356052000000005,26.654529999999998
2014-11-25,109.676414,335.040009,43.246731,26.687647
2014-11-26,110.98209399999999,333.570007,43.501816,26.555162
2014-11-28,110.916801,338.640015,43.556484000000005,27.681295000000002
2014-12-01,107.316879,326.0,44.294411,27.275557
2014-12-02,106.906525,326.309998,44.148651,27.540521999999996
2014-12-03,108.11895,316.5,43.802464,27.855183
2014-12-04,107.70858799999999,316.929993,44.494839,27.399759000000003
2014-12-05,107.251595,312.630005,44.112209,28.095314000000002
2014-12-08,104.82679,306.640015,43.456261,27.301664000000002
2014-12-09,106.430916,312.5,43.356052000000005,27.410269
2014-12-10,104.407104,305.839996,42.727436,26.708506
2014-12-11,104.099335,307.359985,42.973427,26.892303000000002
2014-12-12,102.336685,307.320007,42.772987,26.374340000000004
2014-12-15,100.937744,306.070007,42.517899,25.898149
2014-12-16,99.557449,295.059998,41.142246,25.672585
2014-12-17,102.03823100000001,298.880005,41.670639,26.023464
2014-12-18,105.059921,297.730011,43.292282,26.524715000000004
2014-12-19,104.24854300000001,299.899994,43.419827000000005,27.410269
2014-12-22,105.330399,306.540009,43.711353,27.761145000000003
2014-12-23,104.957352,306.290009,44.139545,28.036834999999996
2014-12-24,104.46305100000001,303.02999900000003,43.857124,27.928228000000004
2014-12-26,106.30963899999999,309.089996,43.620247,28.17885
2014-12-29,106.235031,312.040009,43.228512,28.905673999999998
2014-12-30,104.93869,310.299988,42.836758,29.315034999999998
2014-12-31,102.942894,310.350006,42.317471000000005,29.164656
2015-01-02,101.963631,308.519989,42.599895000000004,29.106173
2015-01-05,99.091148,302.190002,42.208153,28.680117
2015-01-06,99.100471,295.290009,41.588646000000004,29.114527000000002
2015-01-07,100.490089,298.420013,42.117053999999996,29.941601000000002
2015-01-08,104.351151,300.459991,43.356052000000005,30.242348
2015-01-09,104.46305100000001,296.929993,42.991646,29.732742
2015-01-12,101.889015,291.410004,42.454124,29.941601000000002
2015-01-13,102.793655,294.73999,42.235477,29.448708
2015-01-14,102.401962,293.269989,41.871059,28.65505
2015-01-15,99.622726,286.950012,41.433777,27.928228000000004
2015-01-16,98.848663,290.73999,42.126156,28.137089000000003
2015-01-20,101.39473000000001,289.440002,42.262809999999995,28.345941999999997
2015-01-21,102.168816,297.25,41.834621000000006,28.312525
2015-01-22,104.82679,310.320007,42.93697,28.254044
2015-01-23,105.367699,312.390015,42.982529,28.195564
2015-01-26,105.47963,309.660004,42.827647999999996,28.153795000000002
2015-01-27,101.78643000000001,306.75,38.864655,27.919871999999998
